,dateFrom,dateTo,flightFrom,flightTo,price,airline,flightDur,stayLen,searchAdv
0,2017-11-01,2017-11-05,WAW,ICN,3097,Etihad Airways,21,4,53
1,2017-11-01,2017-11-05,WAW,ICN,3226,Etihad Airways,21,4,53
2,2017-11-01,2017-11-05,WAW,ICN,3308,Emirates,19,4,53
3,2017-11-01,2017-11-05,WAW,ICN,3444,Air France,30,4,53
4,2017-11-01,2017-11-05,WAW,ICN,3655,Air France,30,4,53
5,2017-11-01,2017-11-05,WAW,ICN,3705,KLM,18,4,53
6,2017-11-01,2017-11-05,WAW,ICN,3741,Air France,30,4,53
7,2017-11-01,2017-11-05,WAW,ICN,3916,KLM,18,4,53
8,2017-11-01,2017-11-05,WAW,ICN,4043,KLM,25,4,53
9,2017-11-01,2017-11-05,WAW,ICN,5224,Etihad Airways,32,4,53
10,2017-10-01,2017-10-22,WAW,ICN,1830,KLM,14,21,22
11,2017-10-01,2017-10-22,WAW,ICN,1847,KLM,19,21,22
12,2017-10-04,2017-10-25,WAW,ICN,1862,Air France,17,21,25
13,2017-10-06,2017-10-27,WAW,ICN,2050,Lufthansa,16,21,27
14,2017-10-01,2017-10-22,WAW,ICN,2052,KLM,14,21,22
15,2017-10-03,2017-10-24,WAW,ICN,2052,KLM,25,21,24
16,2017-10-03,2017-10-24,WAW,ICN,2293,KLM,14,21,24
17,2017-10-01,2017-10-22,WAW,ICN,2303,Turkish Airlines,14,21,22
18,2017-10-02,2017-10-23,WAW,ICN,2388,KLM,14,21,23
19,2017-10-01,2017-10-22,WAW,ICN,2498,Turkish Airlines,19,21,22
20,2017-10-03,2017-10-24,WAW,ICN,2555,KLM,25,21,24
21,2017-10-02,2017-10-23,WAW,ICN,2579,KLM,14,21,23
22,2017-10-02,2017-10-23,WAW,ICN,2649,KLM,19,21,23
23,2017-10-02,2017-10-23,WAW,ICN,2658,Qatar Airways,15,21,23
24,2017-10-11,2017-11-01,WAW,ICN,2658,Qatar Airways,15,21,32
25,2017-10-03,2017-10-24,WAW,ICN,2663,Finnair,12,21,24
26,2017-10-11,2017-11-01,WAW,ICN,2670,Qatar Airways,15,21,32
27,2017-10-12,2017-11-02,WAW,ICN,2773,Emirates,25,21,33
28,2017-10-04,2017-10-25,WAW,ICN,2843,Qatar Airways,15,21,25
29,2017-10-12,2017-11-02,WAW,ICN,2858,Emirates,18,21,33
30,2017-10-01,2017-10-22,WAW,ICN,2913,Finnair,12,21,22
31,2017-10-04,2017-10-25,WAW,ICN,2978,Emirates,18,21,25
32,2017-10-14,2017-11-04,WAW,ICN,3012,Lufthansa,30,21,35
33,2017-10-13,2017-11-03,WAW,ICN,3051,Qatar Airways,16,21,34
34,2017-10-14,2017-11-04,WAW,ICN,3051,Qatar Airways,16,21,35
35,2017-10-14,2017-11-04,WAW,ICN,3058,Lufthansa,30,21,35
36,2017-10-02,2017-10-23,WAW,ICN,3278,Emirates,18,21,23
37,2017-10-15,2017-11-05,WAW,ICN,3328,Emirates,18,21,36
38,2017-10-10,2017-10-31,WAW,ICN,3387,KLM,14,21,31
39,2017-10-03,2017-10-24,WAW,ICN,3458,Emirates,18,21,24
40,2017-10-04,2017-10-25,WAW,ICN,3538,Finnair,12,21,25
41,2017-10-10,2017-10-31,WAW,ICN,3560,KLM,14,21,31
42,2017-10-06,2017-10-27,WAW,ICN,3561,Qatar Airways,16,21,27
43,2017-10-10,2017-10-31,WAW,ICN,3599,KLM,25,21,31
44,2017-10-11,2017-11-01,WAW,ICN,3810,KLM,19,21,32
45,2017-10-12,2017-11-02,WAW,ICN,3810,KLM,14,21,33
46,2017-10-11,2017-11-01,WAW,ICN,3828,Emirates,18,21,32
47,2017-10-15,2017-11-05,WAW,ICN,3922,Air China,21,21,36
48,2017-10-15,2017-11-05,WAW,ICN,3977,Air China,21,21,36
49,2017-10-11,2017-11-01,WAW,ICN,3982,KLM,19,21,32
50,2017-10-12,2017-11-02,WAW,ICN,4020,LOT,9,21,33
51,2017-10-14,2017-11-04,WAW,ICN,4028,Emirates,18,21,35
52,2017-10-14,2017-11-04,WAW,ICN,4043,KLM,14,21,35
53,2017-10-15,2017-11-05,WAW,ICN,4043,KLM,25,21,36
54,2017-10-14,2017-11-04,WAW,ICN,4067,KLM,19,21,35
55,2017-10-14,2017-11-04,WAW,ICN,4103,Air France,17,21,35
56,2017-10-12,2017-11-02,WAW,ICN,4198,Finnair,12,21,33
57,2017-10-01,2017-10-22,WAW,ICN,4208,Emirates,18,21,22
58,2017-10-15,2017-11-05,WAW,ICN,4254,KLM,19,21,36
59,2017-10-02,2017-10-23,WAW,ICN,4272,Korean Air,14,21,23
60,2017-10-04,2017-10-25,WAW,ICN,4272,Korean Air,14,21,25
61,2017-10-04,2017-10-25,WAW,ICN,4312,KLM,19,21,25
62,2017-10-11,2017-11-01,WAW,ICN,4398,Finnair,12,21,32
63,2017-10-11,2017-11-01,WAW,ICN,4445,KLM,14,21,32
64,2017-10-12,2017-11-02,WAW,ICN,4445,KLM,14,21,33
65,2017-10-12,2017-11-02,WAW,ICN,4465,KLM,14,21,33
66,2017-10-15,2017-11-05,WAW,ICN,4489,KLM,19,21,36
67,2017-10-13,2017-11-03,WAW,ICN,4528,Emirates,18,21,34
68,2017-10-09,2017-10-30,WAW,ICN,4646,Qatar Airways,15,21,30
69,2017-10-03,2017-10-24,WAW,ICN,4655,Korean Air,13,21,24
70,2017-10-13,2017-11-03,WAW,ICN,4673,Finnair,12,21,34
71,2017-10-06,2017-10-27,WAW,ICN,4725,KLM,19,21,27
72,2017-10-12,2017-11-02,WAW,ICN,4816,Air China,21,21,33
73,2017-10-02,2017-10-23,WAW,ICN,4848,Czech Airlines,14,21,23
74,2017-10-03,2017-10-24,WAW,ICN,4848,Czech Airlines,13,21,24
75,2017-10-10,2017-10-31,WAW,ICN,4948,Finnair,12,21,31
76,2017-10-04,2017-10-25,WAW,ICN,5099,KLM,19,21,25
77,2017-10-13,2017-11-03,WAW,ICN,5099,KLM,26,21,34
78,2017-10-10,2017-10-31,WAW,ICN,5109,Korean Air,13,21,31
79,2017-10-13,2017-11-03,WAW,ICN,5124,KLM,26,21,34
80,2017-10-04,2017-10-25,WAW,ICN,5171,KLM,14,21,25
81,2017-10-13,2017-11-03,WAW,ICN,5171,KLM,14,21,34
82,2017-10-14,2017-11-04,WAW,ICN,5182,Qatar Airways,16,21,35
83,2017-10-06,2017-10-27,WAW,ICN,5226,KLM,14,21,27
84,2017-10-02,2017-10-23,WAW,ICN,5233,Finnair,12,21,23
85,2017-10-14,2017-11-04,WAW,ICN,5341,LOT,9,21,35
86,2017-10-09,2017-10-30,WAW,ICN,5420,KLM,14,21,30
87,2017-10-14,2017-11-04,WAW,ICN,5423,Finnair,12,21,35
88,2017-10-12,2017-11-02,WAW,ICN,5640,Etihad Airways,22,21,33
89,2017-10-04,2017-10-25,WAW,ICN,5783,Czech Airlines,14,21,25
90,2017-10-13,2017-11-03,WAW,ICN,5942,Etihad Airways,22,21,34
91,2017-10-09,2017-10-30,WAW,ICN,5946,KLM,19,21,30
92,2017-10-09,2017-10-30,WAW,ICN,6018,KLM,14,21,30
93,2017-10-08,2017-10-29,WAW,ICN,6086,Turkish Airlines,36,21,29
94,2017-10-15,2017-11-05,WAW,ICN,6227,Finnair,12,21,36
95,2017-10-07,2017-10-28,WAW,ICN,6257,Qatar Airways,16,21,28
96,2017-10-07,2017-10-28,WAW,ICN,6269,Qatar Airways,16,21,28
97,2017-10-01,2017-10-22,WAW,ICN,6543,Czech Airlines,13,21,22
98,2017-10-06,2017-10-27,WAW,ICN,6616,KLM,14,21,27
99,2017-10-06,2017-10-27,WAW,ICN,6748,Finnair,12,21,27
100,2017-10-03,2017-10-24,WAW,ICN,6770,Air China,19,21,24
101,2017-10-11,2017-11-01,WAW,ICN,7230,Czech Airlines,14,21,32
102,2017-10-10,2017-10-31,WAW,ICN,7455,Czech Airlines,33,21,31
103,2017-10-08,2017-10-29,WAW,ICN,7930,Turkish Airlines,36,21,29
104,2017-10-07,2017-10-28,WAW,ICN,8282,Air China,18,21,28
105,2017-10-06,2017-10-27,WAW,ICN,8408,Korean Air,14,21,27
106,2017-10-09,2017-10-30,WAW,ICN,8408,Korean Air,14,21,30
107,2017-10-08,2017-10-29,WAW,ICN,8588,Air France,28,21,29
